DateTime,AddedIPs,RemovedIPs
1539837152,10,16
1539839068,10,26
1539841254,5,12
1539843163,6,9
1539845089,10,10
1539847004,11,16
1539848910,7,11
1539850835,8,14
1539852766,9,15
1539854671,14,12
1539856594,8,16
1539858510,8,11
1539860482,16,12
1539862360,14,6
1539864302,12,11
1539866198,19,10
1539868111,22,16
1539870029,7,41
1539871959,5,36
1539873879,13,35
1539875794,6,36
1539877700,10,42
1539879646,8,49
1539881549,12,42
1539883479,11,31
1539885383,8,30
1539887564,6,33
1539889506,12,22
1539891384,15,11
1539893311,8,21
1539895218,13,5
1539897168,11,10
1539899065,13,9
1539901000,7,20
1539902927,4,23
1539904850,10,12
1539906778,4,14
1539908689,4,19
1539910584,12,14
1539912529,18,13
1539914515,15,10
1539916372,23,12
1539918272,38,13
1539920178,25,8
1539922115,9,18
1539924043,21,8
1539925972,21,10
1539927868,24,4
1539929818,37,10
1539931728,11,12
1539933638,24,8
1539935574,7,12
1539937479,10,9
1539939422,11,8
1539941321,6,16
1539943284,20,5
1539945153,4,6
1539947131,13,18
1539949216,10,17
1539951399,12,20
1539953313,13,19
1539955221,8,18
1539957176,14,6
1539959066,8,10
1539961001,7,6
1539962900,7,12
1539965136,8,8
1539966994,5,13
1539968896,10,11
1539971063,7,14
1539972989,13,8
1539974917,19,4
1539976829,20,15
1539978742,17,12
1539980689,20,7
1539982586,12,10
1539984512,9,4
1539986540,9,19
1539988351,2,4
1539990294,11,9
1539992195,11,7
1539994107,13,8
1539996027,22,6
1539997954,19,9
1539999889,7,18
1540001794,14,15
1540003710,11,31
1540005635,22,33
1540007542,11,11
1540009481,7,18
1540011387,6,17
1540013299,11,20
1540015293,13,35
1540017194,12,21
1540019093,7,18
1540020988,15,12
1540022919,13,12
1540024850,22,12
1540026775,14,7
1540028672,13,17
1540030605,7,13
1540032508,10,7
1540034429,4,13
1540036354,7,7
1540038278,14,15
1540040199,47,17
1540042118,27,13
1540044092,37,11
1540045960,31,7
1540047885,20,7
1540049805,14,6
1540051768,4,7
1540053636,8,8
1540055573,2,12
1540057481,6,10
1540059398,12,13
1540061315,9,20
1540063229,15,24
1540065178,16,17
1540067164,12,20
1540068995,10,9
1540070913,8,10
1540072925,12,11
1540074755,17,3
1540076725,9,10
1540078599,14,9
1540080529,14,14
1540082454,19,24
1540084357,22,19
1540086274,41,7
1540088206,23,15
1540090110,33,8
1540092050,16,20
1540093956,16,12
1540095876,18,5
1540097813,10,8
1540099719,13,10
1540101717,8,8
1540103580,3,12
1540105752,12,10
1540107872,8,11
1540109806,14,14
1540111710,16,20
1540113871,6,10
1540115806,8,10
1540117705,9,8
1540119692,7,7
1540121558,11,10
1540123499,11,11
1540125387,8,24
1540127385,11,36
1540129242,12,31
1540131171,9,26
1540133065,15,29
1540135216,15,13
1540137143,15,11
1540139338,16,9
1540141286,12,7
1540143156,17,7
1540145108,14,4
1540147019,22,12
1540148936,17,10
1540150842,2,12
1540152773,14,7
1540154667,8,7
1540156606,6,9
1540158497,6,8
1540160442,3,12
1540162373,4,13
1540164276,15,13
1540166181,9,16
1540168122,16,16
1540170099,23,18
1540171961,10,36
1540174062,9,37
1540176035,6,39
1540177937,27,21
1540179866,33,20
1540181775,31,16
1540183694,26,10
1540185880,36,16
1540187789,11,14
1540189706,10,2
1540191692,13,11
1540193552,7,6
1540195491,20,8
1540197385,42,13
1540199393,36,14
1540201250,49,1
1540203163,32,10
1540205060,31,8
1540207221,10,14
1540209162,7,11
1540211080,13,6
1540213277,10,14
1540215404,15,16
1540217314,14,14
1540219230,11,14
1540221164,14,17
1540223075,6,14
1540224999,16,17
1540226936,27,6
1540228837,13,13
1540230752,19,17
1540232678,10,22
1540234615,7,27
1540236506,8,1
1540238480,7,9
1540240358,5,9
1540242293,13,7
1540244209,9,5
1540246128,6,4
1540248029,6,7
1540250189,9,17
1540252105,9,8
1540254029,6,15
1540255958,7,22
1540257865,7,16
1540259803,6,6
1540261707,5,1
1540263688,5,12
1540265563,9,35
1540267484,10,30
1540269419,10,20
1540271323,3,35
1540273247,8,12
1540275178,10,13
1540277660,14,19
1540279477,13,11
1540281517,7,16
1540283582,7,47
1540285477,11,40
1540287391,10,53
1540289331,8,37
1540291224,8,39
1540293156,6,9
1540295076,11,4
1540297014,10,9
1540298910,6,9
1540300824,6,11
1540302751,8,16
1540304686,6,16
1540306601,12,16
1540308529,3,12
1540310496,8,10
1540312358,2,40
1540314530,7,20
1540316440,8,20
1540318371,15,16
1540320270,9,5
1540322210,8,7
1540324126,6,11
1540326023,7,10
1540327971,5,13
1540329870,3,12
1540331788,10,11
1540333704,13,6
1540335714,5,13
1540337574,7,6
1540339492,9,6
1540341410,8,4
1540343330,6,6
1540345512,12,8
1540347417,12,2
1540349310,20,9
1540351223,26,6
1540353140,61,10
1540355076,54,12
1540357014,41,6
1540358941,44,5
1540361089,36,12
1540363018,14,11
1540365153,43,13
